reactome_id,pathway_name
R-HSA-5619054,"Defective SLC4A4 causes renal tubular acidosis, proximal, with ocular abnormalities and mental retardation (pRTA-OA)"
R-HSA-5619055,Defective SLC24A4 causes hypomineralized amelogenesis imperfecta (AI)
R-HSA-5619056,Defective HK1 causes hexokinase deficiency (HK deficiency)
R-HSA-5619058,"Defective SLCO1B3 causes hyperbilirubinemia, Rotor type (HBLRR)"
R-HSA-5619060,Defective CP causes aceruloplasminemia (ACERULOP)
R-HSA-5619061,Defective SLC33A1 causes spastic paraplegia 42 (SPG42)
R-HSA-5619062,Defective SLC1A3 causes episodic ataxia 6 (EA6)
R-HSA-5619063,Defective SLC29A3 causes histiocytosis-lymphadenopathy plus syndrome (HLAS)
R-HSA-5619066,Defective SLC22A18 causes lung cancer (LNCR) and embryonal rhabdomyosarcoma 1 (RMSE1)
R-HSA-5619067,Defective SLC1A1 is implicated in schizophrenia 18 (SCZD18) and dicarboxylic aminoaciduria (DCBXA)
R-HSA-5619068,Defective SLC2A10 causes arterial tortuosity syndrome (ATS)
R-HSA-5619070,Defective SLC16A1 causes symptomatic deficiency in lactate transport (SDLT)
R-HSA-5619071,Defective SLC22A12 causes renal hypouricemia 1 (RHUC1)
R-HSA-5619072,Defective SLC35A2 causes congenital disorder of glycosylation 2M (CDG2M)
R-HSA-5619073,Defective GCK causes maturity-onset diabetes of the young 2 (MODY2)
R-HSA-5619076,Defective SLC17A8 causes autosomal dominant deafness 25 (DFNA25)
R-HSA-5619077,Defective SLC24A1 causes congenital stationary night blindness 1D (CSNB1D)
R-HSA-5619078,Defective SLC35C1 causes congenital disorder of glycosylation 2C (CDG2C)
R-HSA-5619079,Defective SLC6A18 may confer susceptibility to iminoglycinuria and/or hyperglycinuria
R-HSA-5619081,Defective SLC6A3 causes Parkinsonism-dystonia infantile (PKDYS)
R-HSA-5619083,"Defective SLC35A3 causes arthrogryposis, mental retardation, and seizures (AMRS)"
R-HSA-5619084,ABC transporter disorders
R-HSA-5619085,Defective SLC26A3 causes congenital secretory chloride diarrhea 1 (DIAR1)
R-HSA-5619087,Defective SLC12A3 causes Gitelman syndrome (GS)
R-HSA-5619088,"Defective SLC39A4 causes acrodermatitis enteropathica, zinc-deficiency type (AEZ)"
R-HSA-5619089,Defective SLC6A5 causes hyperekplexia 3 (HKPX3)
R-HSA-5619092,"Defective SLC9A6 causes  X-linked, syndromic mental retardation,, Christianson type (MRXSCH)"
R-HSA-5619094,Variant SLC6A14 may confer susceptibility towards obesity
R-HSA-5619095,"Defective SLCO2A1 causes primary, autosomal recessive hypertrophic osteoarthropathy 2 (PHOAR2)"
R-HSA-5619096,Defective SLC5A5 causes thyroid dyshormonogenesis 1 (TDH1)
R-HSA-5619097,Defective SLC34A3 causes Hereditary hypophosphatemic rickets with hypercalciuria (HHRH)
R-HSA-5619098,Defective SLC2A2 causes Fanconi-Bickel syndrome (FBS)
R-HSA-5619099,"Defective AVP does not bind AVPR1A,B and causes neurohypophyseal diabetes insipidus (NDI)"
R-HSA-5619101,Variant SLC6A20 contributes towards hyperglycinuria (HG) and iminoglycinuria (IG)
R-HSA-5619102,SLC transporter disorders
R-HSA-5619104,Defective SLC12A1 causes Bartter syndrome 1 (BS1)
R-HSA-5619107,Defective TPR may confer susceptibility towards thyroid papillary carcinoma (TPC)
R-HSA-5619108,Defective SLC27A4 causes ichthyosis prematurity syndrome (IPS)
R-HSA-5619109,Defective SLC6A2 causes orthostatic intolerance (OI)
R-HSA-5619110,"Defective SLCO1B1 causes hyperbilirubinemia, Rotor type (HBLRR)"
R-HSA-5619111,Defective SLC20A2 causes idiopathic basal ganglia calcification 1 (IBGC1)
R-HSA-5619113,Defective SLC3A1 causes cystinuria (CSNU)
R-HSA-5619114,Defective SLC5A7 causes distal hereditary motor neuronopathy 7A (HMN7A)
R-HSA-5619115,Disorders of transmembrane transporters
R-HSA-5632927,Defective Mismatch Repair Associated With MSH3
R-HSA-5632928,Defective Mismatch Repair Associated With MSH2
R-HSA-5632968,Defective Mismatch Repair Associated With MSH6
R-HSA-5632987,Defective Mismatch Repair Associated With PMS2
R-HSA-5633231,Defective ALG14 causes congenital myasthenic syndrome (ALG14-CMS)
R-HSA-5637810,Constitutive Signaling by EGFRvIII
R-HSA-5637812,Signaling by EGFRvIII in Cancer
R-HSA-5637815,Signaling by Ligand-Responsive EGFR Variants in Cancer
R-HSA-5638302,Signaling by Overexpressed Wild-Type EGFR in Cancer
R-HSA-5638303,Inhibition of Signaling by Overexpressed EGFR
R-HSA-5655253,Signaling by FGFR2 in disease
R-HSA-5655291,Signaling by FGFR4 in disease
R-HSA-5655302,Signaling by FGFR1 in disease
R-HSA-5655332,Signaling by FGFR3 in disease
R-HSA-5655799,Defective SLC40A1 causes hemochromatosis 4 (HFE4) (duodenum)
R-HSA-5656364,Defective SLC5A1 causes congenital glucose/galactose malabsorption (GGM)
R-HSA-5657560,Hereditary fructose intolerance
R-HSA-5657562,Essential fructosuria
R-HSA-5658034,HHAT G278V doesn't palmitoylate Hh-Np
R-HSA-5658208,Defective SLC5A2 causes renal glucosuria (GLYS1)
R-HSA-5658471,Defective SLC5A7 causes distal hereditary motor neuronopathy 7A (HMN7A)
R-HSA-5659729,Defective SLC6A18 may confer susceptibility to iminoglycinuria and/or hyperglycinuria
R-HSA-5659735,Defective SLC6A19 causes Hartnup disorder (HND)
R-HSA-5659898,Intestinal saccharidase deficiencies
R-HSA-5659996,RPIA deficiency: failed conversion of R5P to RU5P
R-HSA-5660686,Variant SLC6A20 contributes towards hyperglycinuria (HG) and iminoglycinuria (IG)
R-HSA-5660724,Defective SLC6A3 causes Parkinsonism-dystonia infantile (PKDYS)
R-HSA-5660862,Defective SLC7A7 causes lysinuric protein intolerance (LPI)
R-HSA-5660883,Defective SLC7A9 causes cystinuria (CSNU)
R-HSA-5662853,Essential pentosuria
R-HSA-5663020,Defective SLC35A1 causes congenital disorder of glycosylation 2F (CDG2F)
R-HSA-5663084,Diseases of carbohydrate metabolism
R-HSA-5663202,Diseases of signal transduction by growth factor receptors and second messengers
R-HSA-5663205,Infectious disease
R-HSA-5668914,Diseases of metabolism
R-HSA-5674400,Constitutive Signaling by AKT1 E17K in Cancer
R-HSA-5674404,PTEN Loss of Function in Cancer
R-HSA-5678420,"Defective ABCC9 causes CMD10, ATFB12 and Cantu syndrome"
R-HSA-5678520,Defective ABCB11 causes PFIC2 and BRIC2
R-HSA-5678771,"Defective ABCB4 causes PFIC3, ICP3 and GBD1"
R-HSA-5678895,Defective CFTR causes cystic fibrosis
R-HSA-5679001,Defective ABCC2 causes DJS
R-HSA-5679090,Defective ABCG8 causes GBD4 and sitosterolemia
R-HSA-5679096,Defective ABCG5 causes sitosterolemia
R-HSA-5682113,Defective ABCA1 causes TGD
R-HSA-5682294,Defective ABCA12 causes ARCI4B
R-HSA-5683177,Defective ABCC8 can cause hypo- and hyper-glycemias
R-HSA-5683329,Defective ABCD4 causes MAHCJ
R-HSA-5683371,Defective ABCB6 causes MCOPCB7
R-HSA-5683678,Defective ABCA3 causes SMDP3
R-HSA-5684045,Defective ABCD1 causes ALD
R-HSA-5687583,Defective SLC34A2 causes PALM
R-HSA-5687613,Diseases associated with surfactant metabolism
R-HSA-5687868,Defective SFTPA2 causes IPF
R-HSA-5688031,Defective pro-SFTPB causes SMDP1 and RDS
R-HSA-5688354,Defective pro-SFTPC causes SMDP2 and RDS
R-HSA-5688399,Defective ABCA3 causes SMDP3
R-HSA-5688849,Defective CSF2RB causes SMDP5
R-HSA-5688890,Defective CSF2RA causes SMDP4
R-HSA-5690338,Defective ABCC6 causes PXE
R-HSA-6791055,"TALDO1 deficiency: failed conversion of SH7P, GA3P to Fru(6)P, E4P"
R-HSA-6791461,RPIA deficiency: failed conversion of RU5P to R5P
R-HSA-6791462,"TALDO1 deficiency: failed conversion of  Fru(6)P, E4P to SH7P, GA3P"
R-HSA-6791465,Pentose phosphate pathway disease
R-HSA-6802946,Signaling by moderate kinase activity BRAF mutants
R-HSA-6802948,Signaling by high-kinase activity BRAF mutants
R-HSA-6802949,Signaling by RAS mutants
R-HSA-6802952,Signaling by BRAF and RAF fusions
R-HSA-6802953,RAS signaling downstream of NF1 loss-of-function variants
R-HSA-6802955,Paradoxical activation of RAF signaling by kinase inactive BRAF
R-HSA-6802957,Oncogenic MAPK signaling
R-HSA-6809583,Retinoid metabolism disease events
R-HSA-8851708,Signaling by FGFR2 IIIa TM
R-HSA-8853333,Signaling by FGFR2 fusions
R-HSA-8853334,Signaling by FGFR3 fusions in cancer
R-HSA-8853336,Signaling by plasma membrane FGFR1 fusions
R-HSA-8853338,Signaling by FGFR3 point mutants in cancer
R-HSA-8862803,Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models
R-HSA-8863678,Neurodegenerative Diseases
R-HSA-8875360,InlB-mediated entry of Listeria monocytogenes into host cell
R-HSA-8876384,Listeria monocytogenes entry into host cells
R-HSA-8876493,InlA-mediated entry of Listeria monocytogenes into host cells
R-HSA-8942233,Intestinal infectious diseases
R-HSA-9005891,Loss of function of MECP2 in Rett syndrome
R-HSA-9005895,Pervasive developmental disorders
R-HSA-9006821,Alternative Lengthening of Telomeres (ALT)
R-HSA-9022534,Loss of MECP2 binding ability to 5hmC-DNA
R-HSA-9022535,Loss of phosphorylation of MECP2 at T308
R-HSA-9022537,Loss of MECP2 binding ability to the NCoR/SMRT complex
R-HSA-9022538,Loss of MECP2 binding ability to 5mC-DNA
R-HSA-9035968,Defective GGT1 causes Glutathionuria (GLUTH)
R-HSA-9036092,Defective AVP does not bind AVPR2 and causes neurohypophyseal diabetes insipidus (NDI)
R-HSA-9605308,Diseases of Base Excision Repair
R-HSA-9605310,Defective Base Excision Repair Associated with MUTYH
R-HSA-9608287,Defective MUTYH substrate binding
R-HSA-9608290,Defective MUTYH substrate processing
R-HSA-9609646,HCMV Infection
R-HSA-9609690,HCMV Early Events
R-HSA-9610379,HCMV Late Events
R-HSA-9616333,Defective Base Excision Repair Associated with NTHL1
R-HSA-9616334,Defective Base Excision Repair Associated with NEIL1
R-HSA-9629232,Defective Base Excision Repair Associated with NEIL3
R-HSA-9630221,Defective NTHL1 substrate processing
R-HSA-9630222,Defective NTHL1 substrate binding
R-HSA-9630747,Diseases of Cellular Senescence
R-HSA-9630750,Evasion of Oncogene Induced Senescence Due to p16INK4A Defects
R-HSA-9630791,Evasion of Oncogene Induced Senescence Due to Defective p16INK4A binding to CDK4
R-HSA-9630794,Evasion of Oncogene Induced Senescence Due to Defective p16INK4A binding to CDK4 and CDK6
R-HSA-9632693,Evasion of Oxidative Stress Induced Senescence Due to p16INK4A Defects
R-HSA-9632697,Evasion of Oxidative Stress Induced Senescence Due to Defective p16INK4A binding to CDK4
R-HSA-9632700,Evasion of Oxidative Stress Induced Senescence Due to Defective p16INK4A binding to CDK4 and CDK6
R-HSA-9634285,Constitutive Signaling by Overexpressed ERBB2
R-HSA-9635465,Suppression of apoptosis
R-HSA-9635486,Infection with Mycobacterium tuberculosis
R-HSA-9635644,Inhibition of membrane repair
R-HSA-9636249,Inhibition of nitric oxide production
R-HSA-9636383,Prevention of phagosomal-lysosomal fusion
R-HSA-9636467,Blockage of phagosome acidification
R-HSA-9636569,Suppression of autophagy
R-HSA-9636667,Manipulation of host energy metabolism
R-HSA-9637628,Modulation by Mtb of host immune system
R-HSA-9637679,Escape of Mtb from the phagocyte
R-HSA-9637687,Suppression of phagosomal maturation
R-HSA-9637690,Response of Mtb to phagocytosis
R-HSA-9637698,Phagocyte cell death caused by cytosolic Mtb
R-HSA-9639775,Antimicrobial action and antimicrobial resistance in Mtb
R-HSA-9645722,Defective Intrinsic Pathway for Apoptosis Due to p14ARF Loss of Function
R-HSA-9645723,Diseases of programmed cell death
R-HSA-9646303,Evasion of Oncogene Induced Senescence Due to p14ARF Defects
R-HSA-9646304,Evasion of Oxidative Stress Induced Senescence Due to p14ARF Defects
R-HSA-9649913,RAS GTPase cycle mutants
R-HSA-9649948,Signaling downstream of RAS mutants
R-HSA-9651496,Defects of contact activation system (CAS) and kallikrein/kinin system (KKS)
R-HSA-9652169,Signaling by MAP2K mutants
R-HSA-9652817,Signaling by MAPK mutants
R-HSA-9656223,Signaling by RAF1 mutants
R-HSA-9656249,Defective Base Excision Repair Associated with OGG1
R-HSA-9656255,Defective OGG1 Substrate Binding
R-HSA-9656256,Defective OGG1 Substrate Processing
R-HSA-9657050,Defective OGG1 Localization
R-HSA-9657688,Defective factor XII causes hereditary angioedema
R-HSA-9657689,Defective SERPING1 causes hereditary angioedema
R-HSA-9658195,Leishmania infection
R-HSA-9659787,Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects
R-HSA-9660537,Signaling by MRAS-complex mutants
R-HSA-9660821,ADORA2B mediated anti-inflammatory cytokines production
R-HSA-9660826,Purinergic signaling in leishmaniasis infection
R-HSA-9661069,"Defective binding of RB1 mutants to E2F1,(E2F2, E2F3)"
R-HSA-9661070,Defective translocation of RB1 mutants to the nucleus
R-HSA-9662001,Defective factor VIII causes hemophilia A
R-HSA-9662834,CD163 mediating an anti-inflammatory response
R-HSA-9662851,Anti-inflammatory response favouring Leishmania parasite infection
R-HSA-9663199,Defective DNA double strand break response due to BRCA1 loss of function
R-HSA-9664323,FCGR3A-mediated IL10 synthesis
R-HSA-9664407,Parasite infection
R-HSA-9664417,Leishmania phagocytosis
R-HSA-9664420,Killing mechanisms
R-HSA-9664422,FCGR3A-mediated phagocytosis
R-HSA-9664424,Cell recruitment (pro-inflammatory response)
R-HSA-9664433,Leishmania parasite growth and survival
R-HSA-9664535,LTC4-CYSLTR mediated IL4 production
R-HSA-9664565,Signaling by ERBB2 KD Mutants
R-HSA-9665230,Drug resistance in ERBB2 KD mutants
R-HSA-9665233,Resistance of ERBB2 KD mutants to trastuzumab
R-HSA-9665244,Resistance of ERBB2 KD mutants to sapitinib
R-HSA-9665245,Resistance of ERBB2 KD mutants to tesevatinib
R-HSA-9665246,Resistance of ERBB2 KD mutants to neratinib
R-HSA-9665247,Resistance of ERBB2 KD mutants to osimertinib
R-HSA-9665249,Resistance of ERBB2 KD mutants to afatinib
R-HSA-9665250,Resistance of ERBB2 KD mutants to AEE788
R-HSA-9665251,Resistance of ERBB2 KD mutants to lapatinib
R-HSA-9665348,Signaling by ERBB2 ECD mutants
R-HSA-9665686,Signaling by ERBB2 TMD/JMD mutants
R-HSA-9665737,Drug resistance in ERBB2 TMD/JMD mutants
R-HSA-9668250,Defective factor IX causes hemophilia B
R-HSA-9669914,Dasatinib-resistant KIT mutants
R-HSA-9669917,Imatinib-resistant KIT mutants
R-HSA-9669921,KIT mutants bind TKIs
R-HSA-9669924,Masitinib-resistant KIT mutants
R-HSA-9669926,Nilotinib-resistant KIT mutants
R-HSA-9669929,Regorafenib-resistant KIT mutants
R-HSA-9669933,Signaling by kinase domain mutants of KIT
R-HSA-9669934,Sunitinib-resistant KIT mutants
R-HSA-9669935,Signaling by juxtamembrane domain KIT mutants
R-HSA-9669936,Sorafenib-resistant KIT mutants
R-HSA-9669937,Drug resistance of KIT mutants
R-HSA-9669938,Signaling by KIT in disease
R-HSA-9670439,"Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutants"
R-HSA-9670613,Defective Inhibition of DNA Recombination at Telomere Due to DAXX Mutations
R-HSA-9670615,Defective Inhibition of DNA Recombination at Telomere Due to ATRX Mutations
R-HSA-9670621,Defective Inhibition of DNA Recombination at Telomere
R-HSA-9671555,Signaling by PDGFR in disease
R-HSA-9671793,Diseases of hemostasis
R-HSA-9672383,Defective factor IX causes thrombophilia
R-HSA-9672387,Defective F8 accelerates dissociation of the A2 domain
R-HSA-9672391,Defective F8 cleavage by thrombin
R-HSA-9672393,Defective F8 binding to von Willebrand factor
R-HSA-9672395,Defective F8 binding to the cell membrane
R-HSA-9672396,Defective cofactor function of FVIIIa variant
R-HSA-9672397,Defective F8 secretion
R-HSA-9673013,Diseases of Telomere Maintenance
R-HSA-9673202,Defective F9 variant does not activate FX
R-HSA-9673218,Defective F9 secretion
R-HSA-9673221,Defective F9 activation
R-HSA-9673240,Defective gamma-carboxylation of F9
R-HSA-9673324,WNT5:FZD7-mediated leishmania damping
R-HSA-9673766,Signaling by cytosolic PDGFRA and PDGFRB fusion proteins
R-HSA-9673767,"Signaling by PDGFRA transmembrane, juxtamembrane and kinase domain mutants"
R-HSA-9673768,Signaling by membrane-tethered fusions of PDGFRA or PDGFRB
R-HSA-9673770,Signaling by PDGFRA extracellular domain mutants
R-HSA-9674396,Imatinib-resistant PDGFR mutants
R-HSA-9674401,Sunitinib-resistant PDGFR mutants
R-HSA-9674403,Regorafenib-resistant PDGFR mutants
R-HSA-9674404,Sorafenib-resistant PDGFR mutants
R-HSA-9674415,Drug resistance of PDGFR mutants
R-HSA-9674428,PDGFR mutants bind TKIs
R-HSA-9674519,Defective F8 sulfation at Y1699
R-HSA-9675126,Diseases of mitotic cell cycle
R-HSA-9675132,Diseases of cellular response to stress
R-HSA-9675135,Diseases of DNA repair
R-HSA-9675136,Diseases of DNA Double-Strand Break Repair
R-HSA-9675143,Diseases of the neuronal system
R-HSA-9675151,Disorders of Developmental Biology
R-HSA-9678108,SARS-CoV-1 Infection
R-HSA-9678110,Attachment and Entry
R-HSA-9679191,Potential therapeutics for SARS
R-HSA-9679504,Translation of Replicase and Assembly of the Replication Transcription Complex
R-HSA-9679506,SARS-CoV Infections
R-HSA-9679509,Virion Assembly and Release
R-HSA-9679514,SARS-CoV-1 Genome Replication and Transcription
R-HSA-9680187,Signaling by extracellular domain mutants of KIT
R-HSA-9682385,FLT3 signaling in disease
R-HSA-9682706,Replication of the SARS-CoV-1 genome
R-HSA-9682708,Transcription of SARS-CoV-1 sgRNAs
R-HSA-9683439,Assembly of the SARS-CoV-1 Replication-Transcription Complex (RTC)
R-HSA-9683610,Maturation of nucleoprotein
R-HSA-9683612,Maturation of protein M
R-HSA-9683673,Maturation of protein 3a
R-HSA-9683683,Maturation of protein E
R-HSA-9683686,Maturation of spike protein
R-HSA-9683701,Translation of structural proteins
R-HSA-9684325,Maturation of replicase proteins
R-HSA-9686347,Microbial modulation of RIPK1-mediated regulated necrosis
R-HSA-9687136,Aberrant regulation of mitotic exit in cancer due to RB1 defects
R-HSA-9687139,Aberrant regulation of mitotic cell cycle due to RB1 defects
R-HSA-9693928,Defective RIPK1-mediated regulated necrosis
R-HSA-9694271,Assembly of the SARS-CoV-2 Replication-Transcription Complex (RTC)
R-HSA-9694301,Maturation of replicase proteins
R-HSA-9694322,Virion Assembly and Release
R-HSA-9694493,Maturation of protein E
R-HSA-9694516,SARS-CoV-2 Infection
R-HSA-9694548,Maturation of spike protein
R-HSA-9694594,Maturation of protein M
R-HSA-9694614,Attachment and Entry
R-HSA-9694631,Maturation of nucleoprotein
R-HSA-9694635,Translation of structural proteins
R-HSA-9694676,Translation of Replicase and Assembly of the Replication Transcription Complex
R-HSA-9694682,SARS-CoV-2 Genome Replication and Transcription
R-HSA-9694686,Replication of the SARS-CoV-2 genome
R-HSA-9694719,Maturation of protein 3a
R-HSA-9694786,Transcription of SARS-CoV-2 sgRNAs
R-HSA-9697154,Disorders of Nervous System Development
R-HSA-9699150,Defective DNA double strand break response due to BARD1 loss of function
R-HSA-9702506,Drug resistance of FLT3 mutants
R-HSA-9702509,FLT3 mutants bind TKIs
R-HSA-9702518,STAT5 activation downstream of FLT3 ITD mutants
R-HSA-9702569,KW2449-resistant FLT3 mutants
R-HSA-9702577,semaxanib-resistant FLT3 mutants
R-HSA-9702581,crenolanib-resistant FLT3 mutants
R-HSA-9702590,gilteritinib-resistant FLT3 mutants
R-HSA-9702596,lestaurtinib-resistant FLT3 mutants
R-HSA-9702600,midostaurin-resistant FLT3 mutants
R-HSA-9702605,pexidartinib-resistant FLT3 mutants
R-HSA-9702614,ponatinib-resistant FLT3 mutants
R-HSA-9702620,quizartinib-resistant FLT3 mutants
R-HSA-9702624,sorafenib-resistant FLT3 mutants
R-HSA-9702632,sunitinib-resistant FLT3 mutants
R-HSA-9702636,tandutinib-resistant FLT3 mutants
R-HSA-9702998,linifanib-resistant FLT3 mutants
R-HSA-9703009,tamatinib-resistant FLT3 mutants
R-HSA-9703465,Signaling by FLT3 fusion proteins
R-HSA-9703648,Signaling by FLT3 ITD and TKD mutants
R-HSA-9706377,FLT3 signaling by CBL mutants